expression,reading,meaning,tags
違う,ちがう,to be different; to differ; wrong,JLPT N5
近く,ちかく,nearby; in the neighborhood,JLPT N5
地下鉄,ちかてつ,"underground train, subway",JLPT N5
地図,ちず,a map,JLPT N5
父,ちち,(my) father,JLPT N5
茶色,ちゃいろ,brown,JLPT N5
茶碗,ちゃわん,rice bowl,JLPT N5
～中,～ちゅう,"during, while ~ing",JLPT N5
丁度,ちょうど,"just, right, exactly",JLPT N5
ちょっと,ちょっと,"a little, somewhat; just a little, somewhat",JLPT N5
一日,ついたち,one day; first day of the month,JLPT N5
使う,つかう,to use,JLPT N5
疲れる,つかれる,to get (become) tired; to become fatigued,JLPT N5
次,つぎ,next,JLPT N5
着く,つく,"to arrive at, to reach",JLPT N5
机,つくえ,desk,JLPT N5
作る,つくる,"to make, to create",JLPT N5
つける,つける,"to turn on (e.g., a light); to take",JLPT N5
勤める,つとめる,to work (for),JLPT N5
つまらない,つまらない,"boring, dull; insignificant",JLPT N5
冷たい,つめたい,"cold (things, people)",JLPT N5
強い,つよい,"strong, powerful",JLPT N5
手,て,hand,JLPT N5
テープ,テープ,tape,JLPT N5
テープレコーダー,テープレコーダー,tape recorder,JLPT N5
テーブル,テーブル,table,JLPT N5
出かける,でかける,to go out; to depart,JLPT N5
手紙,てがみ,letter,JLPT N5
できる,できる,to be able to (to accomplish),JLPT N5
出口,でぐち,an exit,JLPT N5
テスト,テスト,test,JLPT N5
では,では,"then, well, so",JLPT N5
デパート,デパート,(abbr.) department store,JLPT N5
でも,でも,"but, however",JLPT N5
出る,でる,"to appear, to leave",JLPT N5
テレビ,テレビ,"television, TV",JLPT N5
天気,てんき,weather,JLPT N5
電気,でんき,"electricity, (electric) light",JLPT N5
電車,でんしゃ,electric train,JLPT N5
電話,でんわ,a telephone,JLPT N5
戸,と,door (Japanese style),JLPT N5
～度,～ど,counter for occurrences; ~ degree; ~ point,JLPT N5
ドア,ドア,door (Western style),JLPT N5
トイレ,トイレ,bathroom; toilet,JLPT N5
どう,どう,"how, in what way",JLPT N5
どうして,どうして,"why, for what reason",JLPT N5
どうぞ,どうぞ,"please, kindly, by all means",JLPT N5
動物,どうぶつ,animal,JLPT N5
どうも,どうも,Thank you; somehow; no matter how hard one may try,JLPT N5
十,(〜を) とお,ten (~),JLPT N5
遠い,とおい,"far (away), distant",JLPT N5
十日,とおか,ten days; tenth day of the month,JLPT N5
～時,～とき,at the time of ~,JLPT N5
時々,ときどき,sometimes,JLPT N5
時計,とけい,a watch; a clock,JLPT N5
どこ,どこ,"where, what place",JLPT N5
所,ところ,place,JLPT N5
年,とし,"year, age",JLPT N5
図書館,としょかん,library,JLPT N5
どちら,どちら,which (one) (way); where (polite),JLPT N5
どっち,どっち,"which one, which way",JLPT N5
とても,とても,"very (much), greatly, exceedingly",JLPT N5
どなた,どなた,who,JLPT N5
隣,となり,"next to, next door to",JLPT N5
どの,どの,which,JLPT N5
飛ぶ,とぶ,"to fly, to hop",JLPT N5
止まる,とまる,to come to a halt,JLPT N5
友達,ともだち,friend,JLPT N5
土曜日,どようび,Saturday,JLPT N5
鳥,とり,"chicken (lit., bird)",JLPT N5
鶏肉,とりにく,chicken meat,JLPT N5
取る,とる,to take (a class); to get (a grade),JLPT N5
撮る,とる,"to take (a photo), to make (a film)",JLPT N5
どれ,どれ,which one,JLPT N5
どんな,どんな,"what, what kind of",JLPT N5
ない,ない,"there isn't, doesn't have",JLPT N5
ナイフ,ナイフ,knife,JLPT N5
中,なか,"inside, middle, among",JLPT N5
長い,ながい,"long, lengthy",JLPT N5
鳴く,なく,to make sound (animal),JLPT N5
無くす,なくす,to lose something,JLPT N5
なぜ,なぜ,why (same as どうして),JLPT N5
夏,なつ,summer,JLPT N5
夏休み,なつやすみ,summer vacation,JLPT N5
～など,～など,et cetera,JLPT N5
七つ,ななつ,seven things,JLPT N5
何,なん; なに,what,JLPT N5
七日,なのか,seven days; seventh day (of the month),JLPT N5
名前,なまえ,name,JLPT N5
習う,ならう,to learn,JLPT N5
並ぶ,ならぶ,"to line up, to stand in a line (v.i.)",JLPT N5
並べる,ならべる,to put (things) side by side; to line up,JLPT N5
なる,なる,to become,JLPT N5
何～,なん～,what sort of ~,JLPT N5
二,に,two,JLPT N5
にぎやか,にぎやか,"bustling, busy",JLPT N5
肉,にく,meat,JLPT N5
西,にし,west,JLPT N5
～日,～にち,"~ day of the month, for ~ days",JLPT N5
日曜日,にちようび,Sunday,JLPT N5
荷物,にもつ,luggage; baggage,JLPT N5
ニュース,ニュース,news,JLPT N5
庭,にわ,garden,JLPT N5
～人,～にん,counter for people,JLPT N5
脱ぐ,ぬぐ,to take off (clothes),JLPT N5
温い,ぬるい,lukewarm,JLPT N5
ネクタイ,ネクタイ,"tie, necktie",JLPT N5
猫,ねこ,cat,JLPT N5
寝る,ねる,to sleep; to go to sleep; to go to bed,JLPT N5
～年,～ねん,~ years,JLPT N5
ノート,ノート,notebook,JLPT N5
登る,のぼる,to climb,JLPT N5
飲み物,のみもの,"drink, beverage",JLPT N5
飲む,のむ,to drink,JLPT N5
乗る,のる,"to get on, to ride in, to board",JLPT N5
歯,は,tooth,JLPT N5
パーティー,パーティー,a party,JLPT N5
はい,はい,yes,JLPT N5
～杯,～はい,counter for cupfuls,JLPT N5
灰皿,はいざら,ashtray,JLPT N5
入る,はいる,"to enter, to contain, to hold",JLPT N5
葉書,はがき,postcard,JLPT N5
はく,はく,to put on (items below your waist),JLPT N5
箱,はこ,box,JLPT N5
橋,はし,bridge,JLPT N5
箸,はし,chopsticks,JLPT N5
始まる,はじまる,(something) begins,JLPT N5
初め; 始め,はじめ,"beginning, start",JLPT N5
初めて,はじめて,for the first time,JLPT N5
走る,はしる,to run,JLPT N5
バス,バス,bus; bath; bass,JLPT N5
バター,バター,butter,JLPT N5
二十歳,はたち,20 years old,JLPT N5
働く,はたらく,to work,JLPT N5
八,はち,eight,JLPT N5
二十日,はつか,"twenty days, twentieth (day of the month)",JLPT N5
花,はな,flower,JLPT N5
鼻,はな,nose,JLPT N5
話,はなし,"talk (chat), story",JLPT N5
話す,はなす,to speak,JLPT N5
